Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Grupa|Izvođač
18.5.2021.|14:00-15:30||Kolokvij|V|G1||Doc. dr. sc. Lucia Načinović Prskalo
18.5.2021.|15:45-17:15||Kolokvij|V|G2||Doc. dr. sc. Lucia Načinović Prskalo
18.5.2021.|14:00-17:15||Kolokvij|K|25||Doc. dr. sc. Lucia Načinović Prskalo
25.5.2021.|12:00-13:30|S-32|"Izrada aplikativne logike u Script dijelu Single File Components “.vue” i u JavaScript
komponentama."|P|||Doc. dr. sc. Lucia Načinović Prskalo
25.5.2021.|14:00-15:30|O-350|"Izrada aplikativne logike u Script dijelu Single File Components “.vue” i u JavaScript
komponentama."|V|G1||Doc. dr. sc. Lucia Načinović Prskalo
25.5.2021.|15:45-17:15|O-350|"Izrada aplikativne logike u Script dijelu Single File Components “.vue” i u JavaScript
komponentama."|V|G2||Doc. dr. sc. Lucia Načinović Prskalo
1.6.2021.|12:00-13:30|online|3. projektni zadatak|P|||Doc. dr. sc. Lucia Načinović Prskalo
1.6.2021.|14:00-15:30|online|3. projektni zadatak|V|G1||Doc. dr. sc. Lucia Načinović Prskalo
1.6.2021.|15:45-17:15|online|3. projektni zadatak|V|G2||Doc. dr. sc. Lucia Načinović Prskalo
1.6.2021.|14:00-17:15|online|3. projektni zadatak|DZ|20||Doc. dr. sc. Lucia Načinović Prskalo
8.6.2021.|12:00-13:30|S-32|"Analiza performansi web aplikacija, pregled mogućnosti
poboljšanja performansi."|P|||Doc. dr. sc. Lucia Načinović Prskalo
8.6.2021.|14:00-15:30|O-350|Popravni kolokvij|V|||Doc. dr. sc. Lucia Načinović Prskalo
8.6.2021.|15:45-17:15|O-350|Popravni kolokvij|PA|||Doc. dr. sc. Lucia Načinović Prskalo
28.6.2021.|14:00-17:15|O-350|Završni ispit (1. redovni rok)|Z|30||Doc. dr. sc. Lucia Načinović Prskalo
12.7.2021.|14:00-17:15|O-350|Završni ispit (2. redovni rok)|Z|||Doc. dr. sc. Lucia Načinović Prskalo
7.9.2021.|14:00-17:15|O-350|Završni ispit (1. izvanredni rok)|Z|||Doc. dr. sc. Lucia Načinović Prskalo
14.9.2021.|14:00-17:15|O-350|Završni ispit (2. izvanredni rok)|Z|||Doc. dr. sc. Lucia Načinović Prskalo
